"행정구역","2021년01월_계_총인구수","2021년01월_계_연령구간인구수","2021년01월_계_0~9세","2021년01월_계_10~19세","2021년01월_계_20~29세","2021년01월_계_30~39세","2021년01월_계_40~49세","2021년01월_계_50~59세","2021년01월_계_60~69세","2021년01월_계_70~79세","2021년01월_계_80~89세","2021년01월_계_90~99세","2021년01월_계_100세 이상","2021년01월_남_총인구수","2021년01월_남_연령구간인구수","2021년01월_남_0~9세","2021년01월_남_10~19세","2021년01월_남_20~29세","2021년01월_남_30~39세","2021년01월_남_40~49세","2021년01월_남_50~59세","2021년01월_남_60~69세","2021년01월_남_70~79세","2021년01월_남_80~89세","2021년01월_남_90~99세","2021년01월_남_100세 이상","2021년01월_여_총인구수","2021년01월_여_연령구간인구수","2021년01월_여_0~9세","2021년01월_여_10~19세","2021년01월_여_20~29세","2021년01월_여_30~39세","2021년01월_여_40~49세","2021년01월_여_50~59세","2021년01월_여_60~69세","2021년01월_여_70~79세","2021년01월_여_80~89세","2021년01월_여_90~99세","2021년01월_여_100세 이상","2021년02월_계_총인구수","2021년02월_계_연령구간인구수","2021년02월_계_0~9세","2021년02월_계_10~19세","2021년02월_계_20~29세","2021년02월_계_30~39세","2021년02월_계_40~49세","2021년02월_계_50~59세","2021년02월_계_60~69세","2021년02월_계_70~79세","2021년02월_계_80~89세","2021년02월_계_90~99세","2021년02월_계_100세 이상","2021년02월_남_총인구수","2021년02월_남_연령구간인구수","2021년02월_남_0~9세","2021년02월_남_10~19세","2021년02월_남_20~29세","2021년02월_남_30~39세","2021년02월_남_40~49세","2021년02월_남_50~59세","2021년02월_남_60~69세","2021년02월_남_70~79세","2021년02월_남_80~89세","2021년02월_남_90~99세","2021년02월_남_100세 이상","2021년02월_여_총인구수","2021년02월_여_연령구간인구수","2021년02월_여_0~9세","2021년02월_여_10~19세","2021년02월_여_20~29세","2021년02월_여_30~39세","2021년02월_여_40~49세","2021년02월_여_50~59세","2021년02월_여_60~69세","2021년02월_여_70~79세","2021년02월_여_80~89세","2021년02월_여_90~99세","2021년02월_여_100세 이상","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_0~9세","2021년03월_계_10~19세","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_계_80~89세","2021년03월_계_90~99세","2021년03월_계_100세 이상","2021년03월_남_총인구수","2021년03월_남_연령구간인구수","2021년03월_남_0~9세","2021년03월_남_10~19세","2021년03월_남_20~29세","2021년03월_남_30~39세","2021년03월_남_40~49세","2021년03월_남_50~59세","2021년03월_남_60~69세","2021년03월_남_70~79세","2021년03월_남_80~89세","2021년03월_남_90~99세","2021년03월_남_100세 이상","2021년03월_여_총인구수","2021년03월_여_연령구간인구수","2021년03월_여_0~9세","2021년03월_여_10~19세","2021년03월_여_20~29세","2021년03월_여_30~39세","2021년03월_여_40~49세","2021년03월_여_50~59세","2021년03월_여_60~69세","2021년03월_여_70~79세","2021년03월_여_80~89세","2021년03월_여_90~99세","2021년03월_여_100세 이상","2021년04월_계_총인구수","2021년04월_계_연령구간인구수","2021년04월_계_0~9세","2021년04월_계_10~19세","2021년04월_계_20~29세","2021년04월_계_30~39세","2021년04월_계_40~49세","2021년04월_계_50~59세","2021년04월_계_60~69세","2021년04월_계_70~79세","2021년04월_계_80~89세","2021년04월_계_90~99세","2021년04월_계_100세 이상","2021년04월_남_총인구수","2021년04월_남_연령구간인구수","2021년04월_남_0~9세","2021년04월_남_10~19세","2021년04월_남_20~29세","2021년04월_남_30~39세","2021년04월_남_40~49세","2021년04월_남_50~59세","2021년04월_남_60~69세","2021년04월_남_70~79세","2021년04월_남_80~89세","2021년04월_남_90~99세","2021년04월_남_100세 이상","2021년04월_여_총인구수","2021년04월_여_연령구간인구수","2021년04월_여_0~9세","2021년04월_여_10~19세","2021년04월_여_20~29세","2021년04월_여_30~39세","2021년04월_여_40~49세","2021년04월_여_50~59세","2021년04월_여_60~69세","2021년04월_여_70~79세","2021년04월_여_80~89세","2021년04월_여_90~99세","2021년04월_여_100세 이상","2021년05월_계_총인구수","2021년05월_계_연령구간인구수","2021년05월_계_0~9세","2021년05월_계_10~19세","2021년05월_계_20~29세","2021년05월_계_30~39세","2021년05월_계_40~49세","2021년05월_계_50~59세","2021년05월_계_60~69세","2021년05월_계_70~79세","2021년05월_계_80~89세","2021년05월_계_90~99세","2021년05월_계_100세 이상","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_0~9세","2021년05월_남_10~19세","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_남_80~89세","2021년05월_남_90~99세","2021년05월_남_100세 이상","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_0~9세","2021년05월_여_10~19세","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년05월_여_80~89세","2021년05월_여_90~99세","2021년05월_여_100세 이상","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0~9세","2021년06월_계_10~19세","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_계_80~89세","2021년06월_계_90~99세","2021년06월_계_100세 이상","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_0~9세","2021년06월_남_10~19세","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_남_80~89세","2021년06월_남_90~99세","2021년06월_남_100세 이상","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_0~9세","2021년06월_여_10~19세","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년06월_여_80~89세","2021년06월_여_90~99세","2021년06월_여_100세 이상"
"경기도 경기도 의정부시 (4115000000)","462,499","462,499","34,316","42,445","64,700","60,085","74,819","80,522","57,843","31,433","14,193","1,908","235","227,731","227,731","17,730","21,883","32,863","30,692","37,520","39,568","27,888","13,823","5,261","452","51","234,768","234,768","16,586","20,562","31,837","29,393","37,299","40,954","29,955","17,610","8,932","1,456","184","462,619","462,619","34,113","42,272","64,815","59,849","74,735","80,621","58,291","31,406","14,344","1,938","235","227,725","227,725","17,611","21,806","32,823","30,582","37,519","39,607","28,117","13,821","5,330","458","51","234,894","234,894","16,502","20,466","31,992","29,267","37,216","41,014","30,174","17,585","9,014","1,480","184","461,143","461,143","33,963","42,135","64,877","59,663","74,309","80,292","58,388","31,148","14,342","1,899","127","227,191","227,191","17,530","21,766","32,835","30,466","37,360","39,446","28,275","13,725","5,322","439","27","233,952","233,952","16,433","20,369","32,042","29,197","36,949","40,846","30,113","17,423","9,020","1,460","100","461,077","461,077","33,807","41,978","64,810","59,618","74,164","80,276","58,778","31,165","14,451","1,902","128","227,112","227,112","17,460","21,673","32,789","30,458","37,248","39,477","28,437","13,737","5,370","436","27","233,965","233,965","16,347","20,305","32,021","29,160","36,916","40,799","30,341","17,428","9,081","1,466","101","460,923","460,923","33,671","41,864","64,786","59,555","73,829","80,450","59,164","31,128","14,509","1,891","76","227,073","227,073","17,395","21,613","32,806","30,399","37,094","39,552","28,627","13,729","5,406","434","18","233,850","233,850","16,276","20,251","31,980","29,156","36,735","40,898","30,537","17,399","9,103","1,457","58","461,523","461,523","33,633","41,795","64,783","59,739","73,819","80,428","59,651","31,099","14,604","1,896","76","227,380","227,380","17,372","21,568","32,800","30,482","37,105","39,569","28,872","13,707","5,451","437","17","234,143","234,143","16,261","20,227","31,983","29,257","36,714","40,859","30,779","17,392","9,153","1,459","59"
"경기도 경기도 안양시 (4117000000)","549,730","549,730","38,980","52,278","77,416","76,355","87,497","97,454","71,437","31,772","14,164","2,193","184","271,760","271,760","19,829","27,137","40,130","39,257","42,846","47,299","35,260","14,568","4,860","520","54","277,970","277,970","19,151","25,141","37,286","37,098","44,651","50,155","36,177","17,204","9,304","1,673","130","550,939","550,939","39,128","52,215","77,167","76,765","87,725","97,391","72,021","31,858","14,249","2,231","189","272,392","272,392","19,900","27,103","40,014","39,473","42,994","47,269","35,531","14,637","4,885","531","55","278,547","278,547","19,228","25,112","37,153","37,292","44,731","50,122","36,490","17,221","9,364","1,700","134","551,136","551,136","39,186","52,059","77,206","77,261","87,440","97,080","72,582","31,803","14,254","2,166","99","272,569","272,569","19,915","27,000","40,019","39,751","42,918","47,157","35,749","14,624","4,903","507","26","278,567","278,567","19,271","25,059","37,187","37,510","44,522","49,923","36,833","17,179","9,351","1,659","73","551,189","551,189","39,104","51,860","77,171","77,390","87,348","96,883","73,052","31,808","14,289","2,181","103","272,626","272,626","19,908","26,889","40,000","39,806","42,898","47,054","35,966","14,647","4,919","512","27","278,563","278,563","19,196","24,971","37,171","37,584","44,450","49,829","37,086","17,161","9,370","1,669","76","550,750","550,750","38,944","51,674","76,924","77,392","86,990","96,800","73,541","31,831","14,367","2,184","103","272,348","272,348","19,820","26,790","39,872","39,785","42,721","47,007","36,210","14,670","4,934","513","26","278,402","278,402","19,124","24,884","37,052","37,607","44,269","49,793","37,331","17,161","9,433","1,671","77","549,903","549,903","38,772","51,536","76,723","77,247","86,801","96,446","73,946","31,736","14,401","2,202","93","271,857","271,857","19,742","26,698","39,728","39,703","42,619","46,847","36,408","14,637","4,937","515","23","278,046","278,046","19,030","24,838","36,995","37,544","44,182","49,599","37,538","17,099","9,464","1,687","70"
"경기도 경기도 안양시 만안구 (4117100000)","239,070","239,070","15,408","18,775","34,358","32,846","35,032","43,314","34,752","16,510","6,995","991","89","119,689","119,689","7,798","9,791","17,973","17,379","17,922","21,260","17,117","7,706","2,489","224","30","119,381","119,381","7,610","8,984","16,385","15,467","17,110","22,054","17,635","8,804","4,506","767","59","238,131","238,131","15,168","18,634","34,108","32,632","34,868","43,134","34,932","16,520","7,036","1,007","92","119,191","119,191","7,675","9,716","17,823","17,280","17,843","21,162","17,209","7,710","2,511","231","31","118,940","118,940","7,493","8,918","16,285","15,352","17,025","21,972","17,723","8,810","4,525","776","61","237,879","237,879","15,187","18,575","34,098","32,727","34,699","42,957","35,084","16,496","7,042","964","50","119,096","119,096","7,677","9,688","17,815","17,316","17,789","21,100","17,264","7,709","2,512","212","14","118,783","118,783","7,510","8,887","16,283","15,411","16,910","21,857","17,820","8,787","4,530","752","36","238,231","238,231","15,164","18,501","34,202","32,830","34,691","42,909","35,303","16,530","7,073","976","52","119,297","119,297","7,685","9,654","17,875","17,371","17,782","21,073","17,365","7,736","2,526","216","14","118,934","118,934","7,479","8,847","16,327","15,459","16,909","21,836","17,938","8,794","4,547","760","38","238,331","238,331","15,123","18,451","34,110","32,871","34,559","42,981","35,561","16,535","7,119","969","52","119,314","119,314","7,654","9,622","17,831","17,372","17,722","21,093","17,510","7,740","2,542","214","14","119,017","119,017","7,469","8,829","16,279","15,499","16,837","21,888","18,051","8,795","4,577","755","38","238,391","238,391","15,077","18,432","34,108","32,934","34,553","42,854","35,795","16,476","7,132","987","43","119,318","119,318","7,628","9,619","17,819","17,386","17,724","21,026","17,630","7,718","2,539","218","11","119,073","119,073","7,449","8,813","16,289","15,548","16,829","21,828","18,165","8,758","4,593","769","32"
"경기도 경기도 안양시 동안구 (4117300000)","310,660","310,660","23,572","33,503","43,058","43,509","52,465","54,140","36,685","15,262","7,169","1,202","95","152,071","152,071","12,031","17,346","22,157","21,878","24,924","26,039","18,143","6,862","2,371","296","24","158,589","158,589","11,541","16,157","20,901","21,631","27,541","28,101","18,542","8,400","4,798","906","71","312,808","312,808","23,960","33,581","43,059","44,133","52,857","54,257","37,089","15,338","7,213","1,224","97","153,201","153,201","12,225","17,387","22,191","22,193","25,151","26,107","18,322","6,927","2,374","300","24","159,607","159,607","11,735","16,194","20,868","21,940","27,706","28,150","18,767","8,411","4,839","924","73","313,257","313,257","23,999","33,484","43,108","44,534","52,741","54,123","37,498","15,307","7,212","1,202","49","153,473","153,473","12,238","17,312","22,204","22,435","25,129","26,057","18,485","6,915","2,391","295","12","159,784","159,784","11,761","16,172","20,904","22,099","27,612","28,066","19,013","8,392","4,821","907","37","312,958","312,958","23,940","33,359","42,969","44,560","52,657","53,974","37,749","15,278","7,216","1,205","51","153,329","153,329","12,223","17,235","22,125","22,435","25,116","25,981","18,601","6,911","2,393","296","13","159,629","159,629","11,717","16,124","20,844","22,125","27,541","27,993","19,148","8,367","4,823","909","38","312,419","312,419","23,821","33,223","42,814","44,521","52,431","53,819","37,980","15,296","7,248","1,215","51","153,034","153,034","12,166","17,168","22,041","22,413","24,999","25,914","18,700","6,930","2,392","299","12","159,385","159,385","11,655","16,055","20,773","22,108","27,432","27,905","19,280","8,366","4,856","916","39","311,512","311,512","23,695","33,104","42,615","44,313","52,248","53,592","38,151","15,260","7,269","1,215","50","152,539","152,539","12,114","17,079","21,909","22,317","24,895","25,821","18,778","6,919","2,398","297","12","158,973","158,973","11,581","16,025","20,706","21,996","27,353","27,771","19,373","8,341","4,871","918","38"
"경기도 경기도 부천시 (4119000000)","817,449","817,449","56,594","70,237","117,030","115,524","128,827","147,397","111,658","46,848","19,945","3,135","254","405,464","405,464","29,054","36,055","60,382","59,342","64,865","71,541","55,125","21,619","6,706","713","62","411,985","411,985","27,540","34,182","56,648","56,182","63,962","75,856","56,533","25,229","13,239","2,422","192","816,087","816,087","56,057","69,762","116,672","114,825","128,633","147,142","112,543","46,919","20,116","3,161","257","404,763","404,763","28,812","35,778","60,227","58,998","64,835","71,374","55,528","21,657","6,766","725","63","411,324","411,324","27,245","33,984","56,445","55,827","63,798","75,768","57,015","25,262","13,350","2,436","194","813,178","813,178","55,709","69,442","116,325","114,266","127,856","146,293","113,243","46,702","20,100","3,098","144","403,374","403,374","28,647","35,611","60,003","58,805","64,449","70,956","55,855","21,562","6,736","712","38","409,804","409,804","27,062","33,831","56,322","55,461","63,407","75,337","57,388","25,140","13,364","2,386","106","812,158","812,158","55,482","69,159","115,879","114,038","127,571","145,892","113,955","46,738","20,174","3,122","148","402,851","402,851","28,545","35,457","59,790","58,682","64,362","70,741","56,139","21,602","6,782","712","39","409,307","409,307","26,937","33,702","56,089","55,356","63,209","75,151","57,816","25,136","13,392","2,410","109","811,225","811,225","55,150","68,974","115,465","113,711","127,142","145,736","114,707","46,793","20,255","3,141","151","402,337","402,337","28,375","35,373","59,542","58,530","64,127","70,694","56,464","21,626","6,852","715","39","408,888","408,888","26,775","33,601","55,923","55,181","63,015","75,042","58,243","25,167","13,403","2,426","112","810,742","810,742","54,912","68,850","115,111","113,556","126,947","145,209","115,568","46,953","20,341","3,143","152","402,000","402,000","28,239","35,310","59,321","58,466","64,023","70,430","56,847","21,710","6,909","705","40","408,742","408,742","26,673","33,540","55,790","55,090","62,924","74,779","58,721","25,243","13,432","2,438","112"
"경기도 경기도 광명시 (4121000000)","297,748","297,748","23,039","30,438","38,088","40,935","51,316","49,599","37,737","17,858","7,439","1,155","144","146,858","146,858","11,814","15,638","19,948","20,646","25,359","24,733","17,910","8,048","2,467","259","36","150,890","150,890","11,225","14,800","18,140","20,289","25,957","24,866","19,827","9,810","4,972","896","108","296,785","296,785","22,786","30,285","37,829","40,640","51,148","49,548","37,904","17,869","7,480","1,152","144","146,369","146,369","11,672","15,549","19,795","20,567","25,279","24,660","18,017","8,051","2,486","258","35","150,416","150,416","11,114","14,736","18,034","20,073","25,869","24,888","19,887","9,818","4,994","894","109","295,750","295,750","22,618","30,138","37,773","40,515","50,813","49,406","38,056","17,782","7,492","1,105","52","145,897","145,897","11,571","15,495","19,761","20,519","25,090","24,601","18,090","8,017","2,500","242","11","149,853","149,853","11,047","14,643","18,012","19,996","25,723","24,805","19,966","9,765","4,992","863","41","295,690","295,690","22,515","30,115","37,730","40,448","50,775","49,310","38,332","17,764","7,543","1,105","53","145,859","145,859","11,528","15,478","19,723","20,504","25,055","24,568","18,224","7,995","2,529","244","11","149,831","149,831","10,987","14,637","18,007","19,944","25,720","24,742","20,108","9,769","5,014","861","42","295,742","295,742","22,549","30,078","37,732","40,502","50,709","49,279","38,526","17,664","7,566","1,099","38","145,900","145,900","11,530","15,481","19,677","20,568","25,019","24,586","18,308","7,949","2,539","235","8","149,842","149,842","11,019","14,597","18,055","19,934","25,690","24,693","20,218","9,715","5,027","864","30","295,852","295,852","22,519","30,028","37,685","40,526","50,700","49,184","38,821","17,653","7,598","1,103","35","145,948","145,948","11,504","15,467","19,642","20,576","25,027","24,532","18,453","7,962","2,546","232","7","149,904","149,904","11,015","14,561","18,043","19,950","25,673","24,652","20,368","9,691","5,052","871","28"
"경기도 경기도 평택시 (4122000000)","540,929","540,929","49,332","53,435","73,980","81,379","94,298","87,462","55,895","28,675","14,213","2,023","237","279,690","279,690","25,144","27,558","40,620","44,259","50,182","45,999","27,797","12,522","5,032","503","74","261,239","261,239","24,188","25,877","33,360","37,120","44,116","41,463","28,098","16,153","9,181","1,520","163","544,085","544,085","49,434","53,665","74,400","81,889","94,829","87,962","56,548","28,724","14,348","2,048","238","281,521","281,521","25,188","27,686","40,871","44,623","50,529","46,254","28,148","12,551","5,081","516","74","262,564","262,564","24,246","25,979","33,529","37,266","44,300","41,708","28,400","16,173","9,267","1,532","164","544,368","544,368","49,471","53,668","74,995","82,252","94,681","87,790","56,705","28,458","14,300","1,951","97","282,242","282,242","25,170","27,691","41,253","44,836","50,568","46,245","28,439","12,484","5,062","466","28","262,126","262,126","24,301","25,977","33,742","37,416","44,113","41,545","28,266","15,974","9,238","1,485","69","546,154","546,154","49,475","53,687","75,437","82,548","94,930","87,997","57,217","28,435","14,393","1,944","91","283,450","283,450","25,200","27,714","41,533","45,079","50,721","46,388","28,768","12,469","5,095","458","25","262,704","262,704","24,275","25,973","33,904","37,469","44,209","41,609","28,449","15,966","9,298","1,486","66","548,131","548,131","49,419","53,778","75,712","82,868","95,107","88,395","57,849","28,445","14,511","1,955","92","284,559","284,559","25,143","27,760","41,656","45,339","50,855","46,569","29,093","12,507","5,158","453","26","263,572","263,572","24,276","26,018","34,056","37,529","44,252","41,826","28,756","15,938","9,353","1,502","66","549,901","549,901","49,436","53,846","75,943","83,132","95,388","88,569","58,470","28,471","14,596","1,959","91","285,580","285,580","25,143","27,809","41,787","45,535","51,005","46,675","29,409","12,532","5,201","458","26","264,321","264,321","24,293","26,037","34,156","37,597","44,383","41,894","29,061","15,939","9,395","1,501","65"
"경기도 경기도 동두천시 (4125000000)","94,443","94,443","6,247","8,603","11,286","10,177","14,316","16,520","13,340","8,795","4,449","625","85","47,077","47,077","3,234","4,332","6,140","5,236","7,418","8,677","6,537","3,669","1,636","177","21","47,366","47,366","3,013","4,271","5,146","4,941","6,898","7,843","6,803","5,126","2,813","448","64","94,318","94,318","6,182","8,534","11,272","10,103","14,269","16,518","13,446","8,790","4,493","625","86","47,005","47,005","3,187","4,306","6,132","5,223","7,380","8,672","6,584","3,668","1,657","174","22","47,313","47,313","2,995","4,228","5,140","4,880","6,889","7,846","6,862","5,122","2,836","451","64","93,351","93,351","6,125","8,490","11,185","10,053","14,079","16,326","13,375","8,653","4,458","580","27","46,621","46,621","3,163","4,274","6,093","5,198","7,287","8,589","6,591","3,636","1,630","157","3","46,730","46,730","2,962","4,216","5,092","4,855","6,792","7,737","6,784","5,017","2,828","423","24","93,289","93,289","6,057","8,511","11,157","9,993","14,050","16,338","13,466","8,617","4,491","582","27","46,610","46,610","3,122","4,285","6,077","5,186","7,253","8,627","6,640","3,620","1,639","158","3","46,679","46,679","2,935","4,226","5,080","4,807","6,797","7,711","6,826","4,997","2,852","424","24","93,292","93,292","6,040","8,474","11,166","10,005","13,941","16,327","13,569","8,631","4,522","591","26","46,606","46,606","3,115","4,264","6,071","5,195","7,199","8,629","6,684","3,626","1,660","160","3","46,686","46,686","2,925","4,210","5,095","4,810","6,742","7,698","6,885","5,005","2,862","431","23","93,354","93,354","6,004","8,468","11,157","10,013","13,927","16,333","13,669","8,618","4,545","594","26","46,626","46,626","3,094","4,270","6,065","5,202","7,186","8,626","6,725","3,633","1,661","161","3","46,728","46,728","2,910","4,198","5,092","4,811","6,741","7,707","6,944","4,985","2,884","433","23"
"경기도 경기도 안산시 (4127000000)","655,733","655,733","44,374","63,857","106,590","85,788","108,102","127,904","72,450","29,918","14,504","2,114","132","336,265","336,265","22,604","32,860","56,726","46,791","55,262","65,395","37,962","13,372","4,804","457","32","319,468","319,468","21,770","30,997","49,864","38,997","52,840","62,509","34,488","16,546","9,700","1,657","100","655,700","655,700","44,039","63,492","106,565","85,640","107,852","127,981","73,297","29,911","14,651","2,137","135","336,325","336,325","22,436","32,683","56,751","46,745","55,174","65,407","38,377","13,416","4,840","463","33","319,375","319,375","21,603","30,809","49,814","38,895","52,678","62,574","34,920","16,495","9,811","1,674","102","655,859","655,859","43,822","63,489","107,137","85,490","107,179","127,722","74,188","29,898","14,705","2,136","93","336,542","336,542","22,352","32,693","57,077","46,678","54,876","65,241","38,846","13,444","4,855","459","21","319,317","319,317","21,470","30,796","50,060","38,812","52,303","62,481","35,342","16,454","9,850","1,677","72","655,816","655,816","43,627","63,337","107,254","85,313","106,839","127,664","74,862","29,897","14,772","2,160","91","336,479","336,479","22,265","32,625","57,093","46,566","54,751","65,153","39,191","13,467","4,884","463","21","319,337","319,337","21,362","30,712","50,161","38,747","52,088","62,511","35,671","16,430","9,888","1,697","70","655,555","655,555","43,386","63,053","107,079","85,284","106,273","127,835","75,527","29,932","14,904","2,191","91","336,303","336,303","22,146","32,501","57,007","46,520","54,467","65,227","39,521","13,503","4,918","472","21","319,252","319,252","21,240","30,552","50,072","38,764","51,806","62,608","36,006","16,429","9,986","1,719","70","655,115","655,115","43,181","62,759","106,798","85,228","106,061","127,652","76,184","29,973","14,990","2,197","92","336,051","336,051","22,039","32,335","56,830","46,518","54,389","65,092","39,891","13,535","4,938","463","21","319,064","319,064","21,142","30,424","49,968","38,710","51,672","62,560","36,293","16,438","10,052","1,734","71"
"경기도 경기도 안산시 상록구 (4127100000)","352,897","352,897","23,625","34,257","58,356","44,397","58,022","69,241","38,506","16,870","8,318","1,236","69","180,008","180,008","11,996","17,528","31,121","24,089","29,487","35,341","19,974","7,415","2,766","275","16","172,889","172,889","11,629","16,729","27,235","20,308","28,535","33,900","18,532","9,455","5,552","961","53","352,962","352,962","23,441","34,081","58,358","44,342","57,885","69,309","38,968","16,861","8,393","1,252","72","180,089","180,089","11,897","17,456","31,136","24,083","29,426","35,355","20,226","7,427","2,785","281","17","172,873","172,873","11,544","16,625","27,222","20,259","28,459","33,954","18,742","9,434","5,608","971","55","353,508","353,508","23,338","34,278","58,908","44,240","57,544","69,157","39,438","16,859","8,439","1,254","53","180,441","180,441","11,851","17,563","31,461","24,009","29,279","35,258","20,475","7,452","2,796","285","12","173,067","173,067","11,487","16,715","27,447","20,231","28,265","33,899","18,963","9,407","5,643","969","41","353,702","353,702","23,198","34,279","59,062","44,134","57,359","69,160","39,823","16,870","8,498","1,269","50","180,526","180,526","11,778","17,566","31,489","23,969","29,241","35,221","20,682","7,451","2,827","290","12","173,176","173,176","11,420","16,713","27,573","20,165","28,118","33,939","19,141","9,419","5,671","979","38","353,575","353,575","23,031","34,105","59,020","44,156","57,048","69,231","40,203","16,860","8,582","1,289","50","180,419","180,419","11,704","17,484","31,447","23,951","29,089","35,247","20,890","7,452","2,847","296","12","173,156","173,156","11,327","16,621","27,573","20,205","27,959","33,984","19,313","9,408","5,735","993","38","353,174","353,174","22,883","33,918","58,808","44,152","56,857","69,141","40,575","16,895","8,612","1,283","50","180,215","180,215","11,632","17,388","31,327","23,960","29,002","35,167","21,108","7,470","2,862","287","12","172,959","172,959","11,251","16,530","27,481","20,192","27,855","33,974","19,467","9,425","5,750","996","38"
"경기도 경기도 안산시 단원구 (4127300000)","302,836","302,836","20,749","29,600","48,234","41,391","50,080","58,663","33,944","13,048","6,186","878","63","156,257","156,257","10,608","15,332","25,605","22,702","25,775","30,054","17,988","5,957","2,038","182","16","146,579","146,579","10,141","14,268","22,629","18,689","24,305","28,609","15,956","7,091","4,148","696","47","302,738","302,738","20,598","29,411","48,207","41,298","49,967","58,672","34,329","13,050","6,258","885","63","156,236","156,236","10,539","15,227","25,615","22,662","25,748","30,052","18,151","5,989","2,055","182","16","146,502","146,502","10,059","14,184","22,592","18,636","24,219","28,620","16,178","7,061","4,203","703","47","302,351","302,351","20,484","29,211","48,229","41,250","49,635","58,565","34,750","13,039","6,266","882","40","156,101","156,101","10,501","15,130","25,616","22,669","25,597","29,983","18,371","5,992","2,059","174","9","146,250","146,250","9,983","14,081","22,613","18,581","24,038","28,582","16,379","7,047","4,207","708","31","302,114","302,114","20,429","29,058","48,192","41,179","49,480","58,504","35,039","13,027","6,274","891","41","155,953","155,953","10,487","15,059","25,604","22,597","25,510","29,932","18,509","6,016","2,057","173","9","146,161","146,161","9,942","13,999","22,588","18,582","23,970","28,572","16,530","7,011","4,217","718","32","301,980","301,980","20,355","28,948","48,059","41,128","49,225","58,604","35,324","13,072","6,322","902","41","155,884","155,884","10,442","15,017","25,560","22,569","25,378","29,980","18,631","6,051","2,071","176","9","146,096","146,096","9,913","13,931","22,499","18,559","23,847","28,624","16,693","7,021","4,251","726","32","301,941","301,941","20,298","28,841","47,990","41,076","49,204","58,511","35,609","13,078","6,378","914","42","155,836","155,836","10,407","14,947","25,503","22,558","25,387","29,925","18,783","6,065","2,076","176","9","146,105","146,105","9,891","13,894","22,487","18,518","23,817","28,586","16,826","7,013","4,302","738","33"
"경기도 경기도 고양시 (4128000000)","1,081,175","1,081,175","81,889","104,814","150,816","143,262","182,175","194,901","122,721","62,076","33,285","4,894","342","529,378","529,378","41,795","53,726","77,253","70,988","88,179","95,995","61,523","26,539","12,043","1,240","97","551,797","551,797","40,094","51,088","73,563","72,274","93,996","98,906","61,198","35,537","21,242","3,654","245","1,082,420","1,082,420","81,729","104,562","150,484","143,359","182,012","195,429","123,886","62,126","33,553","4,938","342","529,886","529,886","41,700","53,581","77,057","71,083","88,081","96,223","62,080","26,587","12,139","1,260","95","552,534","552,534","40,029","50,981","73,427","72,276","93,931","99,206","61,806","35,539","21,414","3,678","247","1,080,845","1,080,845","81,455","103,975","150,167","143,290","181,155","195,166","124,986","61,861","33,687","4,917","186","529,227","529,227","41,612","53,223","76,955","71,099","87,711","96,054","62,587","26,515","12,181","1,241","49","551,618","551,618","39,843","50,752","73,212","72,191","93,444","99,112","62,399","35,346","21,506","3,676","137","1,080,736","1,080,736","81,222","103,680","149,697","143,232","180,894","195,280","125,985","61,795","33,821","4,948","182","529,062","529,062","41,474","53,030","76,716","71,068","87,592","96,072","63,077","26,504","12,236","1,246","47","551,674","551,674","39,748","50,650","72,981","72,164","93,302","99,208","62,908","35,291","21,585","3,702","135","1,080,656","1,080,656","80,779","103,448","149,418","143,067","180,309","195,688","127,020","61,773","34,005","4,967","182","529,030","529,030","41,242","52,882","76,559","71,035","87,361","96,275","63,540","26,520","12,323","1,247","46","551,626","551,626","39,537","50,566","72,859","72,032","92,948","99,413","63,480","35,253","21,682","3,720","136","1,080,507","1,080,507","80,362","103,186","149,158","142,950","180,016","195,628","128,157","61,665","34,235","4,971","179","528,924","528,924","41,015","52,748","76,408","71,023","87,191","96,176","64,166","26,485","12,409","1,257","46","551,583","551,583","39,347","50,438","72,750","71,927","92,825","99,452","63,991","35,180","21,826","3,714","133"
